m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_lastLapTimeInMS,m_currentLapTimeInMS,m_sector1TimeInMS,m_sector1TimeMinutes,m_sector2TimeInMS,m_sector2TimeMinutes,m_deltaToCarInFrontInMS,m_deltaToRaceLeaderInMS,m_lapDistance,m_totalDistance,m_safetyCarDelta,m_carPosition,m_currentLapNum,m_pitStatus,m_numPitStops,m_sector,m_currentLapInvalid,m_penalties,m_totalWarnings,m_cornerCuttingWarnings,m_numUnservedDriveThroughPens,m_numUnservedStopGoPens,m_gridPosition,m_driverStatus,m_resultStatus,m_pitLaneTimerActive,m_pitLaneTimeInLaneInMS,m_pitStopTimerInMS,m_pitStopShouldServePen
17167,4122411239002253147,17167,303.4250793457031,66219,39620,18383,0,0,0,0,0,2395.4150390625,15365.8740234375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17168,4122411239002253147,17168,303.4417419433594,66219,39637,18383,0,0,0,0,0,2396.4365234375,15366.8955078125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17170,4122411239002253147,17170,303.4751281738281,66219,39670,18383,0,0,0,0,0,2398.486328125,15368.9453125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17172,4122411239002253147,17172,303.5084533691406,66219,39704,18383,0,0,0,0,0,2400.54296875,15371.001953125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17173,4122411239002253147,17173,303.52520751953125,66219,39720,18383,0,0,0,0,0,2401.5791015625,15372.0380859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17178,4122411239002253147,17178,303.6085510253906,66219,39804,18383,0,0,0,0,0,2406.7685546875,15377.2275390625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17179,4122411239002253147,17179,303.625244140625,66219,39820,18383,0,0,0,0,0,2407.814453125,15378.2734375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17181,4122411239002253147,17181,303.6585998535156,66219,39854,18383,0,0,0,0,0,2409.912109375,15380.37109375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17182,4122411239002253147,17182,303.67529296875,66219,39870,18383,0,0,0,0,0,2410.96484375,15381.423828125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17183,4122411239002253147,17183,303.69195556640625,66219,39887,18383,0,0,0,0,0,2412.01953125,15382.478515625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17186,4122411239002253147,17186,303.74200439453125,66219,39937,18383,0,0,0,0,0,2415.201171875,15385.66015625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17188,4122411239002253147,17188,303.775390625,66219,39970,18383,0,0,0,0,0,2417.3349609375,15387.7939453125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17192,4122411239002253147,17192,303.84210205078125,66219,40037,18383,0,0,0,0,0,2421.6376953125,15392.0966796875,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17202,4122411239002253147,17202,304.0089111328125,66219,40204,18383,0,0,0,0,0,2432.603515625,15403.0625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17203,4122411239002253147,17203,304.025634765625,66219,40221,18383,0,0,0,0,0,2433.7099609375,15404.1689453125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17208,4122411239002253147,17208,304.10906982421875,66219,40304,18383,0,0,0,0,0,2439.2666015625,15409.7255859375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17210,4122411239002253147,17210,304.14239501953125,66219,40338,18383,0,0,0,0,0,2441.494140625,15411.953125,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17215,4122411239002253147,17215,304.2259521484375,66219,40421,18383,0,0,0,0,0,2447.0966796875,15417.5556640625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17217,4122411239002253147,17217,304.2591857910156,66219,40454,18383,0,0,0,0,0,2449.3466796875,15419.8056640625,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
17218,4122411239002253147,17218,304.27587890625,66219,40471,18383,0,0,0,0,0,2450.474609375,15420.93359375,0,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0
