m_overallFrameIdentifier,m_sessionUID,m_frameIdentifier,m_sessionTime,m_eventStringCode,m_eventDetails
156833,1978039479526609313,156833,2987.02734375,BUTN,"{""buttonStatus"": 2080}"
156834,1978039479526609313,156834,2987.110595703125,BUTN,"{""buttonStatus"": 32}"
156842,1978039479526609313,156842,2987.4775390625,BUTN,"{""buttonStatus"": 4128}"
156862,1978039479526609313,156862,2988.51171875,BUTN,"{""buttonStatus"": 4132}"
156865,1978039479526609313,156865,2988.628662109375,BUTN,"{""buttonStatus"": 4128}"
156868,1978039479526609313,156868,2988.77880859375,BUTN,"{""buttonStatus"": 4192}"
156870,1978039479526609313,156870,2988.8955078125,BUTN,"{""buttonStatus"": 4160}"
156874,1978039479526609313,156874,2989.0791015625,PENA,"{""penaltyType"": 13, ""infringementType"": 26, ""vehicleIdx"": 0, ""otherVehicleIdx"": 255, ""time"": 255, ""lapNum"": 12, ""placesGained"": 255}"
156877,1978039479526609313,156877,2989.245849609375,BUTN,"{""buttonStatus"": 4192}"
156880,1978039479526609313,156880,2989.396240234375,BUTN,"{""buttonStatus"": 4160}"
156886,1978039479526609313,156886,2989.6796875,BUTN,"{""buttonStatus"": 4164}"
156888,1978039479526609313,156888,2989.79638671875,BUTN,"{""buttonStatus"": 4160}"
156898,1978039479526609313,156898,2990.2802734375,BUTN,"{""buttonStatus"": 4096}"
156900,1978039479526609313,156900,2990.38037109375,BUTN,"{""buttonStatus"": 266240}"
156904,1978039479526609313,156904,2990.614013671875,BUTN,"{""buttonStatus"": 4096}"
156906,1978039479526609313,156906,2990.697265625,BUTN,"{""buttonStatus"": 4098}"
156908,1978039479526609313,156908,2990.814208984375,BUTN,"{""buttonStatus"": 4096}"
156923,1978039479526609313,156923,2991.531494140625,BUTN,"{""buttonStatus"": 4100}"
156925,1978039479526609313,156925,2991.6484375,BUTN,"{""buttonStatus"": 4096}"
156937,1978039479526609313,156937,2992.248779296875,BUTN,"{""buttonStatus"": 4160}"
156960,1978039479526609313,156960,2993.416748046875,BUTN,"{""buttonStatus"": 4164}"
156963,1978039479526609313,156963,2993.550048828125,BUTN,"{""buttonStatus"": 4160}"
157020,1978039479526609313,157020,2996.419677734375,BUTN,"{""buttonStatus"": 2120}"
157023,1978039479526609313,157023,2996.552978515625,BUTN,"{""buttonStatus"": 2112}"
157024,1978039479526609313,157024,2996.619873046875,BUTN,"{""buttonStatus"": 2120}"
157026,1978039479526609313,157026,2996.719970703125,BUTN,"{""buttonStatus"": 2112}"
157028,1978039479526609313,157028,2996.820068359375,BUTN,"{""buttonStatus"": 2120}"
157030,1978039479526609313,157030,2996.920166015625,BUTN,"{""buttonStatus"": 2112}"
157032,1978039479526609313,157032,2997.020263671875,BUTN,"{""buttonStatus"": 2120}"
157033,1978039479526609313,157033,2997.0703125,BUTN,"{""buttonStatus"": 2112}"
157036,1978039479526609313,157036,2997.220458984375,BUTN,"{""buttonStatus"": 2120}"
157038,1978039479526609313,157038,2997.3037109375,BUTN,"{""buttonStatus"": 2144}"
157041,1978039479526609313,157041,2997.453857421875,BUTN,"{""buttonStatus"": 2080}"
157045,1978039479526609313,157045,2997.637451171875,BUTN,"{""buttonStatus"": 2088}"
157046,1978039479526609313,157046,2997.704345703125,BUTN,"{""buttonStatus"": 2080}"
157048,1978039479526609313,157048,2997.80419921875,BUTN,"{""buttonStatus"": 32}"
157063,1978039479526609313,157063,2998.554931640625,BUTN,"{""buttonStatus"": 4128}"
157065,1978039479526609313,157065,2998.62158203125,BUTN,"{""buttonStatus"": 4192}"
157077,1978039479526609313,157077,2999.255615234375,BUTN,"{""buttonStatus"": 4160}"
157089,1978039479526609313,157089,2999.8564453125,BUTN,"{""buttonStatus"": 4164}"
157093,1978039479526609313,157093,3000.0400390625,BUTN,"{""buttonStatus"": 4160}"
157107,1978039479526609313,157107,3000.740478515625,BUTN,"{""buttonStatus"": 4164}"
157109,1978039479526609313,157109,3000.840576171875,BUTN,"{""buttonStatus"": 4160}"
157113,1978039479526609313,157113,3001.0576171875,BUTN,"{""buttonStatus"": 4162}"
157116,1978039479526609313,157116,3001.19091796875,BUTN,"{""buttonStatus"": 4160}"
157132,1978039479526609313,157132,3001.99169921875,BUTN,"{""buttonStatus"": 4164}"
